BridgeID,BridgeName,BridgeType,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
001,Humen Bridge,Suspension,Field Monitoring,2020,411,28.3,3.3,8.58,2173,Steel Box,0.274,0.24,0.687,0.8,0.17,6.5,8.7,23.1,18.5,0.02,None,None,Medium,Wind Tunnel Test
002,Xihoumen Bridge,Cable-Stayed,CFD Analysis,2021,768,30.2,2.9,10.41,1449,Concrete Box,0.4,0.369,1.108,0.91,0.12,8.3,12.5,54.4,39.4,0.017,Fairings,Reduce 45%,High,Wind Tunnel Test
003,Runyang Bridge,Suspension,Field Monitoring,2022,301,25.6,3.3,7.76,1973,Steel Box,0.137,0.128,0.281,0.91,0.15,9.2,14.7,20.4,13.7,0.013,None,None,Medium,CFD Analysis
004,Sutong Bridge,Cable-Stayed,EI Journal,2022,1053,25.1,3.4,7.38,2338,Concrete Box,0.19,0.169,0.419,0.85,0.12,6.9,12.3,56.2,36.9,0.005,Fairings,Reduce 55%,High,Field Monitoring
005,Qingdao Bay Bridge,Suspension,EI Journal,2022,362,27.7,2.8,9.89,1644,Steel Box,0.116,0.106,0.313,0.83,0.2,9.6,12.6,26.9,17.6,0.014,Vibration Control,Reduce 41%,Medium,Numerical Study
006,HKZM Bridge,Cable-Stayed,EI Journal,2023,1275,24.9,3.1,8.03,2653,Steel Box,0.164,0.15,0.404,0.76,0.12,10.1,16.8,45.8,35.9,0.025,Fairings,Reduce 45%,High,Wind Tunnel Test
007,Zhoushan Bridge,Cable-Stayed,Field Monitoring,2021,686,26.4,3.0,8.8,2223,Steel Box,0.124,0.108,0.316,0.88,0.1,9.5,13.6,39.5,26.0,0.017,Damping Plates,Reduce 48%,Medium,Numerical Study
008,Hangzhou Bay Bridge,Cable-Stayed,EI Journal,2023,1291,26.1,3.0,8.7,1466,Steel Box,0.174,0.163,0.431,0.81,0.13,10.6,14.0,66.0,44.7,0.014,Fairings,Reduce 54%,High,Wind Tunnel Test
009,Maanshan Bridge,Cable-Stayed,Field Monitoring,2023,1137,26.6,3.0,8.87,2092,Steel Box,0.24,0.192,0.671,0.9,0.19,6.6,10.5,31.9,20.4,0.016,Fairings,Reduce 53%,Medium,Field Monitoring
010,Erqi Bridge,Cable-Stayed,Field Monitoring,2021,874,24.6,3.7,6.65,2070,Concrete Box,0.202,0.173,0.519,0.93,0.12,8.4,12.2,53.9,42.2,0.011,None,None,High,Numerical Study
