BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
001,Humen Bridge,Suspension,China,Field Monitoring,2020,411,28.3,3.3,8.58,2173,Steel Box,0.274,0.24,0.687,0.8,0.17,6.5,8.7,23.1,18.5,0.02,None,None,Medium,Wind Tunnel Test
002,Xihoumen Bridge,Suspension,China,CFD Analysis,2021,1650,35.5,3.0,11.83,5452,Steel Box,0.4,0.369,1.108,0.91,0.12,8.3,12.5,54.4,39.4,0.017,Fairings,Reduce 45%,High,Wind Tunnel Test
003,Runyang Bridge,Suspension,China,Field Monitoring,2022,1490,36.0,3.3,10.91,4467,Steel Box,0.137,0.128,0.281,0.91,0.15,9.2,14.7,20.4,13.7,0.013,None,None,Medium,CFD Analysis
004,Sutong Bridge,Cable-Stayed,China,EI Journal,2022,1088,30.4,3.4,8.94,2804,Steel Box,0.19,0.169,0.419,0.85,0.12,6.9,12.3,56.2,36.9,0.005,Fairings,Reduce 55%,High,Field Monitoring
005,Qingdao Bay Bridge,Suspension,China,EI Journal,2022,362,27.7,2.8,9.89,1644,Steel Box,0.116,0.106,0.313,0.83,0.2,9.6,12.6,26.9,17.6,0.014,Vibration Control,Reduce 41%,Medium,Numerical Study
006,HKZM Bridge,Cable-Stayed,China,EI Journal,2023,1275,24.9,3.1,8.03,2653,Steel Box,0.164,0.15,0.404,0.76,0.12,10.1,16.8,45.8,35.9,0.025,Fairings,Reduce 45%,High,Wind Tunnel Test
007,Zhoushan Bridge,Cable-Stayed,China,Field Monitoring,2021,686,26.4,3.0,8.8,2223,Steel Box,0.124,0.108,0.316,0.88,0.1,9.5,13.6,39.5,26.0,0.017,Damping Plates,Reduce 48%,Medium,Numerical Study
008,Hangzhou Bay Bridge,Cable-Stayed,China,EI Journal,2023,448,33.0,3.1,10.65,36000,Concrete Box,0.174,0.163,0.431,0.81,0.13,10.6,14.0,66.0,44.7,0.014,Fairings,Reduce 54%,High,Wind Tunnel Test
009,Maanshan Bridge,Cable-Stayed,China,Field Monitoring,2023,1137,26.6,3.0,8.87,2092,Steel Box,0.24,0.192,0.671,0.9,0.19,6.6,10.5,31.9,20.4,0.016,Fairings,Reduce 53%,Medium,Field Monitoring
010,Erqi Bridge,Cable-Stayed,China,Field Monitoring,2021,874,24.6,3.7,6.65,2070,Concrete Box,0.202,0.173,0.519,0.93,0.12,8.4,12.2,53.9,42.2,0.011,None,None,High,Numerical Study
011,Nanjing Third Bridge,Suspension,China,Wind Tunnel Test,2020,648,37.0,3.2,11.56,4744,Steel Box,0.315,0.298,0.719,0.92,0.13,10.0,14.7,69.6,42.0,0.015,Fairings,Reduce 35%,High,Numerical Study
012,Jiangyin Bridge,Suspension,China,EI Journal,2020,1385,32.0,2.6,12.31,3071,Steel Box,0.395,0.361,0.948,0.94,0.19,7.1,10.1,44.6,27.9,0.022,None,None,High,Field Monitoring
013,Edong Bridge,Cable-Stayed,China,CFD Analysis,2023,555,26.9,3.2,8.41,3367,Concrete Box,0.377,0.318,0.783,0.77,0.18,7.1,10.3,47.9,37.4,0.022,None,None,High,CFD Analysis
014,Tongling Bridge,Cable-Stayed,China,EI Journal,2022,432,30.3,3.0,10.1,2592,Concrete Box,0.312,0.259,0.71,0.84,0.14,10.8,15.3,17.0,11.3,0.017,Damping Plates,Reduce 47%,Low,Numerical Study
015,Taizhou Bridge,Cable-Stayed,China,SCI Paper,2020,406,25.1,3.2,7.84,1775,Concrete Box,0.341,0.279,0.913,0.76,0.16,9.7,17.0,34.4,25.2,0.022,None,None,Medium,CFD Analysis
016,Wuhu Bridge,Suspension,China,CFD Analysis,2020,312,28.6,3.3,8.67,1988,Steel Box,0.306,0.274,0.678,0.9,0.15,6.2,9.0,58.0,44.4,0.013,None,None,High,Numerical Study
017,Anqing Bridge,Cable-Stayed,China,SCI Paper,2020,510,29.1,3.2,9.09,1856,Composite,0.167,0.152,0.377,0.81,0.13,10.9,16.4,22.8,15.2,0.014,None,None,Medium,Wind Tunnel Test
018,Chizhou Bridge,Cable-Stayed,China,Wind Tunnel Test,2024,731,29.2,2.8,10.43,2308,Concrete Box,0.225,0.212,0.574,0.76,0.13,9.1,11.9,20.0,14.0,0.024,None,None,Medium,Wind Tunnel Test
019,Wangdong Bridge,Suspension,China,CFD Analysis,2022,923,29.2,2.8,10.43,2386,Steel Box,0.367,0.302,0.892,0.93,0.16,6.9,9.5,59.6,38.8,0.008,None,None,High,CFD Analysis
020,Maanshan Second Bridge,Suspension,China,Field Monitoring,2021,1080,27.7,3.4,8.15,4854,Steel Box,0.195,0.158,0.519,0.83,0.15,6.2,9.2,22.1,13.4,0.009,Vibration Control,Reduce 48%,Medium,Numerical Study
021,Golden Gate Bridge,Suspension,USA,Historical Data,1937,1280,27.4,2.7,10.15,2737,Steel Truss,0.106,0.095,0.189,0.96,0.21,8.9,12.8,45.2,32.1,0.015,None,None,High,Wind Tunnel Test
022,Akashi Kaikyo Bridge,Suspension,Japan,EI Journal,1998,1991,35.5,3.5,10.14,3911,Steel Box,0.084,0.075,0.158,0.88,0.14,7.2,10.5,38.7,28.3,0.018,Tuned Mass Dampers,Reduce 60%,High,Field Monitoring
023,Verrazano Narrows Bridge,Suspension,USA,Historical Data,1964,1298,31.0,2.8,11.07,4260,Steel Truss,0.092,0.082,0.173,0.93,0.18,9.1,13.2,52.1,37.8,0.014,None,None,High,Wind Tunnel Test
024,Great Belt East Bridge,Suspension,Denmark,SCI Paper,1998,1624,31.0,3.0,10.33,6790,Steel Box,0.075,0.067,0.141,0.87,0.16,8.7,12.4,41.5,29.7,0.016,Aerodynamic Fairings,Reduce 42%,High,Field Monitoring
025,Humber Bridge,Suspension,UK,EI Journal,1981,1410,28.5,2.4,11.88,2220,Steel Box,0.081,0.073,0.151,0.91,0.19,10.2,14.8,48.9,35.2,0.013,None,None,High,Wind Tunnel Test
026,Millau Bridge,Cable-Stayed,France,SCI Paper,2004,342,32.0,4.2,7.62,2460,Steel Box,0.163,0.148,0.285,0.79,0.15,8.8,13.7,28.4,21.1,0.019,Flow Control,Reduce 38%,Medium,CFD Analysis
027,Tatara Bridge,Cable-Stayed,Japan,EI Journal,1999,890,30.6,3.1,9.87,1480,Steel Box,0.142,0.127,0.268,0.84,0.17,9.4,14.2,35.8,26.4,0.017,Fairings,Reduce 44%,Medium,Field Monitoring
028,Brooklyn Bridge,Suspension,USA,Historical Data,1883,486,26.0,5.6,4.64,1825,Steel Truss,0.217,0.195,0.432,1.02,0.24,6.8,9.7,62.4,45.8,0.021,None,None,High,Wind Tunnel Test
029,Tower Bridge,Bascule,UK,Historical Data,1894,61,18.0,8.6,2.09,244,Steel Truss,0.642,0.578,1.284,1.14,0.28,5.2,7.3,18.5,13.7,0.035,None,None,Low,Field Monitoring
030,Tacoma Narrows Bridge,Suspension,USA,Historical Data,1950,853,20.1,3.4,5.91,1600,Steel Truss,0.118,0.106,0.221,0.89,0.22,11.2,15.8,71.3,52.4,0.012,Wind Fairings,Reduce 55%,High,Wind Tunnel Test
031,Pont de Normandie,Cable-Stayed,France,SCI Paper,1995,856,23.6,3.0,7.87,2141,Concrete Box,0.148,0.133,0.279,0.82,0.16,9.7,14.1,32.6,24.8,0.018,Fairings,Reduce 41%,Medium,CFD Analysis
032,Russky Bridge,Cable-Stayed,Russia,EI Journal,2012,1104,29.5,3.2,9.22,3100,Steel Box,0.114,0.102,0.215,0.86,0.15,8.5,12.8,39.2,28.7,0.016,None,None,High,Field Monitoring
033,Stonecutters Bridge,Cable-Stayed,Hong Kong,SCI Paper,2009,1018,37.4,3.5,10.69,1596,Steel Box,0.124,0.111,0.234,0.83,0.14,9.1,13.5,42.8,31.2,0.017,Damping System,Reduce 47%,High,Wind Tunnel Test
034,Rion-Antirion Bridge,Cable-Stayed,Greece,EI Journal,2004,560,27.2,3.1,8.77,2883,Steel Box,0.179,0.161,0.336,0.81,0.17,8.9,13.2,29.7,22.4,0.019,Seismic Dampers,Reduce 52%,Medium,Field Monitoring
035,Øresund Bridge,Cable-Stayed,Denmark/Sweden,SCI Paper,2000,490,23.5,3.2,7.34,7845,Concrete Box,0.204,0.184,0.384,0.78,0.16,9.3,14.6,25.8,19.3,0.020,None,None,Medium,CFD Analysis
036,Erasmus Bridge,Cable-Stayed,Netherlands,EI Journal,1996,284,32.0,2.9,11.03,802,Steel Box,0.354,0.318,0.665,0.77,0.15,7.8,11.9,27.1,20.4,0.022,None,None,Medium,Wind Tunnel Test
037,Confederation Bridge,Box Girder,Canada,SCI Paper,1997,250,11.0,40.0,0.28,12900,Concrete Box,0.4,0.36,0.752,0.91,0.13,12.5,18.2,15.3,11.8,0.025,Ice Shields,Reduce 65%,Low,Field Monitoring
038,Arthur Ravenel Jr Bridge,Cable-Stayed,USA,EI Journal,2005,471,26.8,3.4,7.88,4517,Concrete Box,0.213,0.191,0.399,0.80,0.16,9.6,14.3,31.4,23.7,0.018,None,None,Medium,CFD Analysis
039,Øresund Approach Bridge,Cable-Stayed,Denmark,SCI Paper,2000,293,23.5,3.2,7.34,7845,Concrete Box,0.342,0.308,0.643,0.78,0.16,9.0,13.8,22.5,17.1,0.021,None,None,Medium,CFD Analysis
040,Jiashao Bridge,Cable-Stayed,China,Field Monitoring,2013,428,33.0,3.1,10.65,10138,Concrete Box,0.234,0.211,0.441,0.82,0.15,8.7,13.1,36.8,27.4,0.017,Fairings,Reduce 43%,Medium,Field Monitoring
041,Donghai Bridge,Cable-Stayed,China,EI Journal,2005,420,31.5,3.2,9.84,32500,Concrete Box,0.238,0.214,0.447,0.81,0.16,9.2,13.7,34.2,25.8,0.018,None,None,Medium,CFD Analysis
042,Chesapeake Bay Bridge,Suspension,USA,Historical Data,1952,488,8.5,5.2,1.63,7000,Steel Truss,0.205,0.184,0.385,0.98,0.23,7.4,10.8,54.3,39.1,0.019,None,None,High,Wind Tunnel Test
043,Mackinac Bridge,Suspension,USA,Historical Data,1957,1158,22.9,2.4,9.54,8038,Steel Truss,0.087,0.078,0.163,0.92,0.20,10.1,14.5,46.7,33.8,0.015,None,None,High,Wind Tunnel Test
044,Ambassador Bridge,Suspension,USA/Canada,Historical Data,1929,564,27.4,3.0,9.13,2286,Steel Truss,0.177,0.159,0.333,0.96,0.22,8.3,12.1,38.9,28.7,0.017,None,None,Medium,Wind Tunnel Test
045,George Washington Bridge,Suspension,USA,Historical Data,1931,1067,35.8,3.4,10.53,1632,Steel Truss,0.094,0.084,0.176,0.94,0.21,9.8,14.2,49.2,35.6,0.014,None,None,High,Wind Tunnel Test
