iter	Passed	Remaining
0	1	354
1	2	296
2	4	270
3	5	262
4	6	250
5	7	249
6	8	246
7	10	248
8	11	246
9	12	246
10	14	249
11	16	250
12	17	247
13	18	243
14	19	245
15	21	245
16	22	242
17	23	239
18	25	241
19	26	240
20	28	240
21	29	238
22	30	237
23	32	234
24	33	232
25	34	229
26	35	227
27	36	225
28	37	223
29	39	221
30	40	218
31	41	219
32	43	219
33	44	214
34	45	212
35	46	211
36	48	211
37	48	208
38	50	207
39	51	205
40	52	204
41	53	202
42	55	202
43	56	201
44	57	199
45	59	198
46	60	196
47	61	195
48	62	193
49	64	192
50	65	190
51	66	189
52	67	187
53	68	186
54	70	184
55	71	183
56	72	181
57	73	179
58	74	178
59	75	176
60	76	175
61	78	174
62	79	173
63	80	171
64	82	170
65	83	169
66	84	168
67	85	165
68	86	164
69	88	163
70	89	162
71	90	161
72	91	159
73	92	158
74	94	156
75	95	155
76	96	153
77	96	151
78	97	149
79	99	148
80	100	148
81	102	146
82	103	145
83	104	144
84	105	143
85	107	142
86	108	140
87	109	139
88	110	138
89	112	137
90	113	135
91	114	134
92	116	133
93	117	132
94	118	130
95	119	129
96	120	128
97	121	126
98	123	125
99	124	124
100	125	122
101	126	121
102	127	120
103	128	118
104	130	117
105	131	116
106	132	115
107	133	113
108	134	112
109	135	111
110	137	109
111	138	108
112	139	107
113	140	105
114	141	104
115	142	103
116	143	102
117	145	100
118	146	99
119	148	98
120	149	97
121	150	96
122	151	94
123	152	93
124	154	92
125	155	91
126	156	89
127	157	88
128	158	87
129	159	86
130	161	84
131	162	83
132	163	82
133	164	81
134	165	79
135	167	78
136	168	77
137	169	76
138	170	74
139	171	73
140	172	72
141	173	70
142	175	69
143	176	68
144	178	67
145	179	66
146	180	65
147	181	63
148	183	62
149	184	61
150	185	60
151	186	58
152	187	57
153	188	56
154	189	55
155	190	53
156	191	52
157	192	51
158	194	50
159	195	48
160	196	47
161	197	46
162	198	45
163	199	43
164	200	42
165	202	41
166	203	40
167	204	39
168	206	37
169	207	36
170	208	35
171	210	34
172	211	33
173	213	31
174	214	30
175	215	29
176	216	28
177	217	26
178	219	25
179	220	24
180	221	23
181	222	22
182	224	20
183	225	19
184	226	18
185	227	17
186	228	15
187	229	14
188	230	13
189	231	12
190	233	10
191	234	9
192	236	8
193	237	7
194	239	6
195	240	4
196	241	3
197	242	2
198	243	1
199	245	0
