BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
1,Humen Bridge,Suspension,China,Field Monitoring,2020.0,411,28.3,3.3,8.58,2173.0,Steel Box,0.274,0.24,0.687,0.8,0.17,6.5,8.7,23.1,18.5,0.02,,,Medium,Wind Tunnel Test
2,Xihoumen Bridge,Suspension,China,CFD Analysis,2021.0,1650,35.5,3.0,11.83,5452.0,Steel Box,0.4,0.369,1.108,0.91,0.12,8.3,12.5,54.4,39.4,0.017,Fairings,Reduce 45%,High,Wind Tunnel Test
3,Runyang Bridge,Suspension,China,Field Monitoring,2022.0,1490,36.0,3.3,10.91,4467.0,Steel Box,0.137,0.128,0.281,0.91,0.15,9.2,14.7,20.4,13.7,0.013,,,Medium,CFD Analysis
4,Sutong Bridge,Cable-Stayed,China,EI Journal,2022.0,1088,30.4,3.4,8.94,2804.0,Steel Box,0.19,0.169,0.419,0.85,0.12,6.9,12.3,56.2,36.9,0.005,Fairings,Reduce 55%,High,Field Monitoring
5,Qingdao Bay Bridge,Suspension,China,EI Journal,2022.0,362,27.7,2.8,9.89,1644.0,Steel Box,0.116,0.106,0.313,0.83,0.2,9.6,12.6,26.9,17.6,0.014,Vibration Control,Reduce 41%,Medium,Numerical Study
6,HKZM Bridge,Cable-Stayed,China,EI Journal,2023.0,1275,24.9,3.1,8.03,2653.0,Steel Box,0.164,0.15,0.404,0.76,0.12,10.1,16.8,45.8,35.9,0.025,Fairings,Reduce 45%,High,Wind Tunnel Test
7,Zhoushan Bridge,Cable-Stayed,China,Field Monitoring,2021.0,686,26.4,3.0,8.8,2223.0,Steel Box,0.124,0.108,0.316,0.88,0.1,9.5,13.6,39.5,26.0,0.017,Damping Plates,Reduce 48%,Medium,Numerical Study
8,Hangzhou Bay Bridge,Cable-Stayed,China,EI Journal,2023.0,448,33.0,3.1,10.65,36000.0,Concrete Box,0.174,0.163,0.431,0.81,0.13,10.6,14.0,66.0,44.7,0.014,Fairings,Reduce 54%,High,Wind Tunnel Test
9,Maanshan Bridge,Cable-Stayed,China,Field Monitoring,2023.0,1137,26.6,3.0,8.87,2092.0,Steel Box,0.24,0.192,0.671,0.9,0.19,6.6,10.5,31.9,20.4,0.016,Fairings,Reduce 53%,Medium,Field Monitoring
10,Erqi Bridge,Cable-Stayed,China,Field Monitoring,2021.0,874,24.6,3.7,6.65,2070.0,Concrete Box,0.202,0.173,0.519,0.93,0.12,8.4,12.2,53.9,42.2,0.011,,,High,Numerical Study
11,Nanjing Third Bridge,Suspension,China,Wind Tunnel Test,2020.0,648,37.0,3.2,11.56,4744.0,Steel Box,0.315,0.298,0.719,0.92,0.13,10.0,14.7,69.6,42.0,0.015,Fairings,Reduce 35%,High,Numerical Study
12,Jiangyin Bridge,Suspension,China,EI Journal,2020.0,1385,32.0,2.6,12.31,3071.0,Steel Box,0.395,0.361,0.948,0.94,0.19,7.1,10.1,44.6,27.9,0.022,,,High,Field Monitoring
13,Edong Bridge,Cable-Stayed,China,CFD Analysis,2023.0,555,26.9,3.2,8.41,3367.0,Concrete Box,0.377,0.318,0.783,0.77,0.18,7.1,10.3,47.9,37.4,0.022,,,High,CFD Analysis
14,Tongling Bridge,Cable-Stayed,China,EI Journal,2022.0,432,30.3,3.0,10.1,2592.0,Concrete Box,0.312,0.259,0.71,0.84,0.14,10.8,15.3,17.0,11.3,0.017,Damping Plates,Reduce 47%,Low,Numerical Study
15,Taizhou Bridge,Cable-Stayed,China,SCI Paper,2020.0,406,25.1,3.2,7.84,1775.0,Concrete Box,0.341,0.279,0.913,0.76,0.16,9.7,17.0,34.4,25.2,0.022,,,Medium,CFD Analysis
16,Wuhu Bridge,Suspension,China,CFD Analysis,2020.0,312,28.6,3.3,8.67,1988.0,Steel Box,0.306,0.274,0.678,0.9,0.15,6.2,9.0,58.0,44.4,0.013,,,High,Numerical Study
17,Anqing Bridge,Cable-Stayed,China,SCI Paper,2020.0,510,29.1,3.2,9.09,1856.0,Composite,0.167,0.152,0.377,0.81,0.13,10.9,16.4,22.8,15.2,0.014,,,Medium,Wind Tunnel Test
18,Chizhou Bridge,Cable-Stayed,China,Wind Tunnel Test,2024.0,731,29.2,2.8,10.43,2308.0,Concrete Box,0.225,0.212,0.574,0.76,0.13,9.1,11.9,20.0,14.0,0.024,,,Medium,Wind Tunnel Test
19,Wangdong Bridge,Suspension,China,CFD Analysis,2022.0,923,29.2,2.8,10.43,2386.0,Steel Box,0.367,0.302,0.892,0.93,0.16,6.9,9.5,59.6,38.8,0.008,,,High,CFD Analysis
20,Maanshan Second Bridge,Suspension,China,Field Monitoring,2021.0,1080,27.7,3.4,8.15,4854.0,Steel Box,0.195,0.158,0.519,0.83,0.15,6.2,9.2,22.1,13.4,0.009,Vibration Control,Reduce 48%,Medium,Numerical Study
21,Golden Gate Bridge,Suspension,USA,Historical Data,1937.0,1280,27.4,2.7,10.15,2737.0,Steel Truss,0.106,0.095,0.189,0.96,0.21,8.9,12.8,45.2,32.1,0.015,,,High,Wind Tunnel Test
22,Akashi Kaikyo Bridge,Suspension,Japan,EI Journal,1998.0,1991,35.5,3.5,10.14,3911.0,Steel Box,0.084,0.075,0.158,0.88,0.14,7.2,10.5,38.7,28.3,0.018,Tuned Mass Dampers,Reduce 60%,High,Field Monitoring
23,Verrazano Narrows Bridge,Suspension,USA,Historical Data,1964.0,1298,31.0,2.8,11.07,4260.0,Steel Truss,0.092,0.082,0.173,0.93,0.18,9.1,13.2,52.1,37.8,0.014,,,High,Wind Tunnel Test
24,Great Belt East Bridge,Suspension,Denmark,SCI Paper,1998.0,1624,31.0,3.0,10.33,6790.0,Steel Box,0.075,0.067,0.141,0.87,0.16,8.7,12.4,41.5,29.7,0.016,Aerodynamic Fairings,Reduce 42%,High,Field Monitoring
25,Humber Bridge,Suspension,UK,EI Journal,1981.0,1410,28.5,2.4,11.88,2220.0,Steel Box,0.081,0.073,0.151,0.91,0.19,10.2,14.8,48.9,35.2,0.013,,,High,Wind Tunnel Test
