BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
ADD001,Rail-Cum-Road Twin Deck Bridge Case Study,Cable-Stayed,China,Effect of spacing VIV rail-cum-road bridges,,720,38.5,4.2,9.17,,Steel Box,0.182,,,,,8.2,11.5,58.7,,0.011,,,High,Twin asymmetric parallel decks - spacing effect study
ADD002,Double-Deck Plate-Truss Composite Girder Bridge,Suspension,China,VIV characteristic double deck plate-truss composite,,1490,36.0,3.3,10.91,,Composite,0.137,,,,,9.2,14.7,43.6,,0.013,,,Medium,Two-region VIV characteristic study
ADD003,Wide Streamline Box Girder Optimization Case,Cable-Stayed,China,VIV Optimization Wide Streamline Box Girder,,580,41.0,3.8,10.79,,Steel Box,0.205,,,,,10.8,14.2,35.2,,0.016,Streamline optimization,Reduce 58%,Low,Wind tunnel test - optimized aerodynamic shape
ADD004,Double-Layer Steel Truss Bridge Ventilation Study,Truss,China,Railing ventilation rate aerodynamic mechanism VIV steel truss,,850,30.0,12.5,2.4,,Steel Truss,0.168,,,,,7.5,10.3,47.8,,0.014,,,High,Double-layer truss - railing ventilation effect
ADD005,Ultra Long-Span 5000m Suspension Bridge Concept,Suspension,China,Wind tunnel testing 5000m suspension bridge,,5000,42.0,4.5,9.33,,Steel Box,0.052,,,,,15.5,22.0,125.0,,0.008,,,High,Conceptual ultra-long span - buffeting analysis
ADD006,Jiashao Bridge,Cable-Stayed,China,Wind engineering database,2013.0,428,36.0,3.5,10.29,,Steel Box,0.225,0.198,0.612,,,11.2,15.6,32.4,21.8,0.018,,,Medium,Major sea-crossing bridge in Zhejiang
ADD007,Stonecutters Bridge,Cable-Stayed,Hong Kong,Hong Kong bridge wind study,2009.0,1018,32.5,4.5,7.22,,Composite,0.142,0.128,0.356,0.84,0.13,9.8,13.4,48.5,32.7,0.013,,,High,World record cable-stayed span at completion
ADD008,Incheon Bridge,Cable-Stayed,South Korea,Korean bridge VIV research,2009.0,800,33.4,3.6,9.28,,Steel Box,0.172,0.155,0.445,,,10.5,14.8,40.2,27.5,0.015,,,Medium,Major sea-crossing in South Korea
ADD009,Russky Bridge,Cable-Stayed,Russia,Russian bridge wind engineering,2012.0,1104,29.5,3.5,8.43,,Steel Box,0.136,0.122,0.348,,,8.7,12.2,52.8,36.4,0.011,,,High,Longest cable-stayed span (2012-2016)
ADD010,Rion-Antirion Bridge,Cable-Stayed,Greece,European bridge wind study,2004.0,560,27.2,3.0,9.07,,Concrete Box,0.195,0.175,0.512,,,11.0,15.5,38.9,26.2,0.014,,,Medium,"Multi-span cable-stayed, seismic design"
ADD011,Vasco da Gama Bridge,Cable-Stayed,Portugal,Portuguese bridge monitoring,1998.0,420,30.1,3.2,9.41,,Concrete Box,0.218,0.192,0.598,,,12.3,16.8,29.5,19.8,0.017,,,Low,Longest bridge in Europe at completion
ADD012,Jiangyin Yangtze River Bridge,Suspension,China,Yangtze River bridges review,1999.0,1385,32.0,2.6,12.31,,Steel Box,0.395,0.361,0.948,0.94,0.19,7.1,10.1,44.6,27.9,0.022,,,High,First Chinese-designed long-span suspension
ADD013,Tsing Yi South Bridge,Cable-Stayed,Hong Kong,Hong Kong structural monitoring,2009.0,430,25.8,3.4,7.59,,Steel Box,0.232,0.208,0.625,,,10.9,14.7,34.7,23.5,0.019,,,Medium,Part of Route 8 strategic link
ADD014,Yichang Yangtze River Bridge,Cable-Stayed,China,Yangtze River bridges database,2001.0,960,28.5,3.8,7.5,,Concrete Box,0.155,0.138,0.392,,,8.9,12.6,49.3,33.8,0.012,,,High,Third longest span in China at completion
ADD015,Ting Kau Bridge,Cable-Stayed,Hong Kong,Hong Kong bridge health monitoring,1998.0,475,26.4,3.2,8.25,,Steel Box,0.208,0.185,0.545,,,10.2,13.9,37.2,25.4,0.016,,,Medium,Triple-tower cable-stayed design
