BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
DEEP001,Type-II Composite Girder Cable-Stayed Bridge Original Section,Cable-Stayed,China,Type-II composite girder VIV and aerodynamic control 2015,,618,33.8,3.5,9.66,,Composite,0.198,,,,,7.5,10.2,71.5,,0.01,,,High,Ⅱ型叠合梁原始断面 - baseline case
DEEP002,Type-II Composite Girder with Central Stabilizer,Cable-Stayed,China,Type-II composite girder aerodynamic control measures,,618,33.8,3.5,9.66,,Composite,0.198,,,,,10.8,15.1,21.3,,0.01,Central Stabilizer,Reduce 70%,Low,中央稳定板 - highly effective suppression
DEEP003,Pi-Section Bridge Wind Barrier Configuration,Cable-Stayed,China,Pi-section open section VIV aerodynamic suppression,,638,34.5,3.6,9.58,,Composite,0.192,,,,,9.8,13.5,32.6,,0.01,Wind Barrier,Reduce 52%,Medium,Π型开口断面 - wind barrier test
DEEP004,Large-Span Parallel Streamline Box Section A,Suspension,China,Large-span parallel streamline box bridge VIV characteristics,,1385,36.5,3.2,11.41,,Steel Box,0.14,,,,,9.3,13.6,58.9,,0.014,,,High,并行流线箱型断面A - original design
DEEP005,Large-Span Parallel Streamline Box Section B Optimized,Suspension,China,Parallel streamline box VIV control measures,,1385,36.5,3.2,11.41,,Steel Box,0.14,,,,,11.7,16.2,26.4,,0.014,Streamline Optimization,Reduce 55%,Medium,流线优化断面 - optimized aerodynamics
DEEP006,Flat Streamlined Box Girder Width-Height Ratio 11,Suspension,China,Flat streamlined box girder VIV aerodynamic forces 2023,,1688,39.6,3.6,11.0,,Steel Box,0.135,,,,,8.9,12.8,65.7,,0.015,,,High,扁平箱梁宽高比11 - high VIV susceptibility
DEEP007,Flat Streamlined Box Girder with Fairings,Suspension,China,Flat streamlined box girder fairing suppression,,1688,39.6,3.6,11.0,,Steel Box,0.135,,,,,11.4,16.8,28.5,,0.015,Fairings,Reduce 57%,Medium,导流板抑振 - effective fairing design
DEEP008,Steel-Concrete Composite Girder Wind Tunnel Model 1,Cable-Stayed,China,Steel-concrete composite girder VIV performance 2022,,760,34.8,3.8,9.16,,Composite,0.172,,,,,8.7,12.1,63.2,,0.016,,,High,钢混组合梁模型1 - wind tunnel test
DEEP009,Steel-Concrete Composite with Horizontal Plates,Cable-Stayed,China,Steel-concrete composite VIV control measures,,760,34.8,3.8,9.16,,Composite,0.172,,,,,10.9,15.2,31.8,,0.016,Horizontal Plates,Reduce 50%,Medium,水平稳定板 - horizontal stabilizer plates
DEEP010,Separated Twin-Box Girder Spacing 0.5m,Cable-Stayed,China,Separated twin-box girder spacing effect study,,580,36.0,3.5,10.29,,Steel Box,0.205,,,,,7.8,10.5,78.4,,0.012,,,High,分体式双箱梁间距0.5m - worst case
DEEP011,Separated Twin-Box Girder Spacing 1.2m,Cable-Stayed,China,Separated twin-box girder optimal spacing,,580,36.0,3.5,10.29,,Steel Box,0.205,,,,,9.5,13.2,42.6,,0.012,,,Medium,分体式双箱梁间距1.2m - optimal spacing
DEEP012,Rail-Road Double-Deck Truss Original Railing,Truss,China,Rail-road double-deck steel truss original design 2024,,1092,32.8,16.0,2.05,,Steel Truss,0.152,,,,,6.2,8.5,85.7,,0.011,,,High,双层钢桁架原始栏杆 - baseline case
DEEP013,Rail-Road Double-Deck Truss Optimized Railing,Truss,China,Rail-road truss railing ventilation optimization,,1092,32.8,16.0,2.05,,Steel Truss,0.152,,,,,8.1,11.3,38.9,,0.011,Optimized Railing Ventilation,Reduce 55%,Medium,栏杆通风率优化 - ventilation control
