BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
001,Tacoma Narrows Bridge,Suspension,USA,Historical VIV Study - Tacoma Narrows,1950,853,18.3,2.4,7.625000000000001,,Steel Box,0.2,,,,,19.0,19.0,150.0,95.0,0.008,None,,High,"Famous VIV failure case, rebuilt 1950"
002,Golden Gate Bridge,Suspension,USA,Golden Gate Bridge Wind Study 2015,1937,1280,27.4,7.6,3.6052631578947367,,Steel Truss,0.11,0.095,0.275,0.72,0.09,12.5,15.8,28.5,19.2,0.012,Damping Plates,,Medium,"Iconic suspension bridge, extensive monitoring"
003,George Washington Bridge,Suspension,USA,ASCE Bridge Monitoring Report 2018,1931,1067,36.0,4.1,8.78048780487805,,Steel Truss,0.14,0.125,0.338,,,10.8,13.2,42.3,28.7,0.015,None,,Medium,Double-deck suspension bridge
004,Akashi Kaikyo Bridge,Suspension,Japan,Akashi Kaikyo VIV Study - JSCE 2002,1998,1991,35.5,4.0,8.875,,Steel Truss,0.079,0.068,0.198,0.68,0.08,14.2,18.5,35.8,24.1,0.018,Tuned Mass Dampers,,Medium,"World longest span, advanced wind tunnel tests"
005,Kurushima-Kaikyo Bridge,Suspension,Japan,Japanese Bridge VIV Database 2005,1999,1030,27.0,3.2,8.4375,,Steel Box,0.168,0.152,0.421,,,11.3,14.8,48.9,32.5,0.014,Fairings,,High,Three consecutive suspension spans
006,Humber Bridge,Suspension,UK,Humber Bridge VIV Monitoring - Wind Engineering 2008,1981,1410,28.5,4.5,6.333333333333333,,Steel Box,0.102,0.089,0.268,0.85,0.14,13.5,16.9,52.7,36.8,0.011,None,,High,Extensive VIV monitoring program
007,Severn Bridge,Suspension,UK,UK Bridge Wind Study 2010,1966,988,24.4,3.0,8.133333333333333,,Steel Box,0.145,0.132,0.358,,,10.2,12.8,65.3,44.2,0.009,Damping Plates,,High,Aerodynamic box girder design
008,Great Belt Bridge,Suspension,Denmark,Great Belt VIV Study - European Bridge Journal 2001,1998,1624,31.0,4.2,7.3809523809523805,,Steel Box,0.092,0.081,0.238,0.78,0.11,15.1,19.2,38.4,26.3,0.016,Fairings,,Medium,Comprehensive wind tunnel testing
009,Gwangan Bridge,Cable-Stayed,South Korea,Korean Bridge VIV Research 2007,2003,500,25.0,3.5,7.142857142857143,,Steel Box,0.215,0.188,0.556,,,9.8,12.5,41.7,28.9,0.013,Vibration Control,,Medium,Urban cable-stayed bridge with VIV concerns
010,Yi Sun-sin Bridge,Cable-Stayed,South Korea,Yi Sun-sin Bridge Wind Study 2014,2012,810,32.0,3.8,8.421052631578947,,Steel Box,0.158,0.142,0.405,,,11.7,15.3,33.5,22.8,0.019,Fairings,,Medium,Modern cable-stayed with wind mitigation
