BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
TEAM001,Pi-Section Cable-Stayed Bridge Case Study 1,Cable-Stayed,China,Pi-section cable-stayed bridge VIV research,,638,34.5,3.6,9.58,,Composite,0.192,,,,,7.8,10.6,68.3,,0.01,,,High,Π型叠合梁断面 - wind tunnel test
TEAM002,Pi-Section Cable-Stayed Bridge with Guide Vanes,Cable-Stayed,China,Pi-section VIV aerodynamic control measures,,638,34.5,3.6,9.58,,Composite,0.192,,,,,10.2,14.8,24.7,,0.01,Guide Vanes,Reduce 64%,Low,导流板控制措施 - suppression effective
TEAM003,Flat Streamlined Box Girder Bridge,Suspension,China,Flat streamlined box girder VIV analysis 2023,,1688,39.6,3.5,11.31,,Steel Box,0.135,,,,,9.5,13.8,51.2,,0.015,,,High,扁平流线型箱梁 - aerodynamic characteristics study
TEAM004,Ultra Long-Span Suspension Bridge VIV Control Study,Suspension,China,Ultra long-span suspension bridge VIV response control,,2038,41.0,4.0,10.25,,Steel Box,0.088,,,,,8.2,11.7,87.5,,0.009,TMD,Reduce 42%,High,TMD vibration control research
TEAM005,Long-Span Rail-Road Double-Deck Steel Truss Bridge,Truss,China,Rail-road double-deck steel truss VIV control 2024,,1092,32.8,16.0,2.05,,Steel Truss,0.152,,,,,6.8,9.3,73.6,,0.011,,,High,公铁两用双层钢桁架 - complex aerodynamics
TEAM006,Long-Span Continuous Steel Box Girder Bridge,Cable-Stayed,China,Continuous steel box girder VIV and control,,808,33.5,3.2,10.47,,Steel Box,0.165,,,,,9.1,12.9,55.8,,0.013,,,High,连续钢箱梁 - vibration control study
TEAM007,Asymmetric Section Flexible Bridge with Deflectors,Cable-Stayed,China,Asymmetric section flexible bridge deflector control 2025,,726,35.0,3.4,10.29,,Steel Box,0.178,,,,,10.5,14.2,41.3,,0.014,Deflector Plates,Reduce 52%,Medium,非对称断面 - deflector plate control
TEAM008,Separated Twin-Box Girder Bridge,Cable-Stayed,China,Separated twin-box girder VIV flow mechanism,,580,36.0,3.5,10.29,,Steel Box,0.205,,,,,8.6,11.8,59.7,,0.012,,,High,分体式双箱梁 - flow mechanism research
TEAM009,Steel-Concrete Composite Girder Cable-Stayed Bridge,Cable-Stayed,China,Steel-concrete composite girder VIV control 2022,,760,34.8,3.8,9.16,,Composite,0.172,,,,,9.8,13.5,48.9,,0.016,,,Medium,钢混组合梁 - VIV performance study
TEAM010,HKZM Bridge Large Cantilever Steel Box Girder Section,Cable-Stayed,China,HKZM Bridge large cantilever VIV suppression,2018.0,458,33.1,3.5,9.46,,Steel Box,0.164,,,,,9.5,13.2,52.6,,0.025,Aerodynamic Measures,Reduce 48%,Medium,大挑臂钢箱梁 - aerodynamic suppression
TEAM011,High-Speed Railway Long-Span Cable-Stayed Bridge,Cable-Stayed,China,High-speed railway cable-stayed VIV optimization 2023,,672,31.4,3.3,9.52,,Steel Box,0.185,,,,,10.2,14.0,45.2,,0.018,Aerodynamic Optimization,Reduce 38%,Medium,高速铁路桥梁 - aerodynamic optimization
TEAM012,CFD-Based Bridge VIV and Flutter Study Case,Suspension,China,CFD-based bridge VIV and flutter aeroelastic simulation,,1418,35.0,3.0,11.67,,Steel Box,0.128,,,,,8.8,12.4,61.5,,0.012,,,High,CFD气弹模拟 - numerical simulation study
TEAM013,Prototype Monitoring ML-Based VIV Study Bridge,Cable-Stayed,China,Prototype monitoring ML-based VIV research,,1088,30.4,3.4,8.94,,Steel Box,0.19,0.169,0.419,,,6.9,12.3,56.2,36.9,0.005,,,High,原型监测+机器学习 - field monitoring with ML
TEAM014,RBF Neural Network Pi-Girder VIV Study,Cable-Stayed,China,RBF neural network Pi-girder original section VIV 2021,,620,33.8,3.6,9.39,,Composite,0.196,,,,,7.9,10.8,64.8,,0.011,,,High,RBF神经网络预测 - neural network prediction
TEAM015,Rectangular Section Main Girder VIV Study,Cable-Stayed,China,Rectangular section main girder VIV aerodynamic spanwise correlation 2017,,520,28.0,4.0,7.0,,Concrete Box,0.228,,,,,6.5,9.1,72.4,,0.009,,,High,矩形断面 - spanwise correlation experimental study
TEAM016,Xihoumen Bridge VIV Prediction Study,Suspension,China,Xihoumen Bridge VIV prediction technical service,2009.0,1650,35.5,3.0,11.83,,Steel Box,0.4,0.369,1.108,,,8.3,12.5,54.4,39.4,0.017,,,High,西堠门大桥 - VIV prediction service project
TEAM017,Long-Span Parallel Streamline Box Bridge,Cable-Stayed,China,Long-span parallel streamline box bridge VIV control,,688,37.2,3.5,10.63,,Steel Box,0.182,,,,,9.6,13.3,49.6,,0.015,,,Medium,并行流线箱型 - parallel streamline box
TEAM018,Long-Span Multi-Section Bridge VIV Study,Cable-Stayed,China,Long-span multi-section bridge VIV research,,1018,32.0,3.6,8.89,,Steel Box,0.148,,,,,8.5,11.9,58.3,,0.012,,,High,多断面桥梁 - multi-section bridge study
TEAM019,Long-Span Bridge Spanwise VIV Study,Suspension,China,Long-span bridge spanwise main girder VIV research,,1490,36.0,3.3,10.91,,Steel Box,0.137,,,,,9.2,14.7,62.8,,0.013,,,High,沿跨向涡激振动 - spanwise VIV characteristics
