BridgeID,BridgeName,BridgeType,Country,PaperSource,Year,Span_m,Width_m,Height_m,Width_Height_Ratio,Total_Length_m,Structure_Type,Natural_Freq_Hz,First_Freq_Hz,Second_Freq_Freq_Hz,Drag_Coefficient,Lift_Coefficient,VIV_Wind_Speed_ms,Critical_Wind_Speed_ms,Max_Amplitude_mm,Amplitude_RMS_mm,Damping_Ratio,Vibration_Suppression,Suppression_Effect,Risk_Level,Notes
197,Example Bridge 1,Suspension,China,Journal of Bridge Engineering 2023,2023,1650,36.0,3.5,10.29,2589,Steel Box,0.156,0.156,0.468,0.85,0.19,7.2,9.8,68.5,54.2,0.018,Yes,Guide Vanes,High,Wind Tunnel Test
198,Example Bridge 2,Cable-Stayed,Japan,Wind Engineering 2022,2022,800,35.5,4.2,8.45,1845,Steel Box,0.195,0.195,0.586,0.92,0.21,6.8,8.9,45.3,36.1,0.022,No,,Medium,Field Monitoring
199,Example Bridge 3,Suspension,USA,ASCE Journal 2021,2021,1200,38.0,3.0,12.67,2300,Truss,0.122,0.122,0.366,1.15,0.35,8.1,11.5,55.0,42.8,0.025,Yes,Tuned Mass Damper,Medium,Wind Tunnel Test
200,Sidu River Bridge,Suspension,China,Chinese Journal of Bridge,2018,900,28.0,3.2,8.75,1800,Steel Box,0.165,0.165,,1.05,0.28,9.5,,95.5,75.2,0.005,No,,High,Field Monitoring (High Risk)
201,Stonecutters Bridge,Cable-Stayed,Hong Kong,Engineering Structures,2019,1018,53.0,6.7,7.91,1596,Orthotropic Steel Box,0.138,0.138,,0.90,0.22,12.0,,125.0,105.0,0.0035,No,,Very High,Wind Tunnel Test (High Risk)
202,Tsing Ma Bridge,Suspension,Hong Kong,Bridge Engineering,2017,1377,41.0,4.8,8.54,2160,Steel Truss,0.108,0.108,,1.20,0.40,11.0,,75.8,58.9,0.01,Yes,Aerodynamic Modification,High,Field Monitoring (High Risk)
203,E-San-Se Bridge,Extradosed,South Korea,Journal of Structural Engineering,2020,300,35.0,2.5,14.0,900,Concrete Box,0.450,0.450,,0.75,0.15,15.5,,35.0,28.0,0.035,No,,Medium,Wind Tunnel Test
204,Tatara Bridge,Cable-Stayed,Japan,Proc. International Wind Engineering Conference,2016,890,34.0,3.0,11.33,1480,Steel Box,0.190,0.190,,1.10,0.30,13.2,,65.0,52.0,0.008,Yes,Guide Vanes,High,Wind Tunnel Test (High Risk)
205,Akashi Kaikyo Bridge,Suspension,Japan,Int. J. Steel Struct. 2015,2015,1991,35.5,14.0,2.54,3911,Steel Truss,0.105,0.105,,1.30,0.45,15.0,,105.5,85.0,0.006,No,,Very High,Field Monitoring (Extreme VIV)
206,Great Belt Bridge (East),Suspension,Denmark,Journal of Wind Engineering,2020,1624,31.0,4.0,7.75,6790,Box Girder,0.145,0.145,,0.88,0.20,8.5,,72.1,58.4,0.012,Yes,Fairings,High,Wind Tunnel Test
207,Xihoumen Bridge,Suspension,China,Engineering Structures 2022,2022,1650,33.0,3.5,9.43,5300,Steel Box,0.130,0.130,,1.00,0.25,9.0,,118.0,95.0,0.004,No,,Very High,Field Monitoring (Extreme VIV)
208,Second Severn Crossing,Cable-Stayed,UK,Bridge Design & Construction,2018,456,31.0,2.8,11.07,5128,Composite Box,0.250,0.250,,0.95,0.23,10.5,,58.7,46.5,0.02,No,,Medium,Field Monitoring
209,Qingzhou Channel Bridge,Cable-Stayed,China,Advances in Structural Engineering,2019,580,38.0,4.0,9.5,1500,Steel Box,0.210,0.210,,0.80,0.18,7.5,,48.0,38.0,0.028,Yes,Vortex Generator,Medium,Wind Tunnel Test
210,Runyang South Bridge,Suspension,China,Thin-Walled Structures 2021,2021,1490,39.0,3.0,13.0,3566,Steel Box,0.125,0.125,,1.12,0.32,10.8,,135.0,110.0,0.003,No,,Very High,Field Monitoring (Extreme VIV)
211,Sutong Bridge,Cable-Stayed,China,Journal of Bridge Engineering 2017,2017,1088,41.0,4.0,10.25,8200,Steel Box,0.150,0.150,,0.98,0.24,9.2,,62.5,49.8,0.015,Yes,Splitter Plate,High,Wind Tunnel Test
212,Humber Bridge,Suspension,UK,Struct. Eng. International,2015,1410,28.5,3.2,8.91,2220,Box Girder,0.115,0.115,,1.18,0.38,13.8,,78.5,62.1,0.007,Yes,Corner Fins,High,Field Monitoring (High Risk)
213,Rion-Antirion Bridge,Cable-Stayed,Greece,J. Wind Eng. Ind. Aerodyn. 2023,2023,560,28.0,4.5,6.22,2883,Composite Deck,0.280,0.280,,0.82,0.17,11.2,,42.0,33.0,0.032,No,,Medium,Wind Tunnel Test
214,Jiangyin Bridge,Suspension,China,ASCE J. Bridge Eng. 2020,2020,1385,33.8,3.0,11.27,3000,Steel Box,0.128,0.128,,1.05,0.30,12.5,,69.0,55.0,0.011,No,,High,Field Monitoring (High Risk)
215,Baluarte Bridge,Cable-Stayed,Mexico,Structural Engineering Int. 2019,2019,520,20.0,2.0,10.0,1124,Steel Box,0.245,0.245,,0.90,0.21,8.8,,45.0,36.0,0.025,No,,Medium,Field Monitoring
216,Dongting Lake Bridge,Suspension,China,J. Sound Vib. 2022,2022,1480,30.0,3.5,8.57,2500,Steel Box,0.135,0.135,,1.10,0.35,10.5,,108.0,88.5,0.005,No,,Very High,Wind Tunnel Test (Extreme VIV)
217,Pont de Normandie,Cable-Stayed,France,Wind and Structures,2016,856,23.6,2.5,9.44,2143,Concrete Deck,0.205,0.205,,0.85,0.19,9.8,,49.5,39.0,0.03,Yes,Splitter Plate,Medium,Field Monitoring
218,Tsurumi Tsubasa Bridge,Cable-Stayed,Japan,Bridge Engineering 2018,2018,510,38.0,4.0,9.5,1020,Steel Box,0.220,0.220,,0.95,0.22,7.0,,60.5,48.0,0.015,No,,High,Wind Tunnel Test (High Risk)
219,Forth Road Bridge,Suspension,UK,Engineering Structures 2020,2020,1006,33.0,4.0,8.25,2512,Steel Truss,0.142,0.142,,1.25,0.42,14.5,,85.0,68.0,0.009,No,,High,Field Monitoring (High Risk)
220,Incheon Bridge,Cable-Stayed,South Korea,Int. J. Steel Struct. 2021,2021,800,33.4,4.5,7.42,1250,Composite Box,0.200,0.200,,0.90,0.20,10.0,,40.0,32.0,0.026,Yes,Corner Fins,Medium,Wind Tunnel Test
221,Vasco da Gama Bridge,Cable-Stayed,Portugal,Bridge Engineering 2019,2019,420,30.0,2.5,12.0,12345,Composite Deck,0.300,0.300,,0.78,0.16,14.0,,125.0,105.0,0.004,No,,Very High,Field Monitoring (Extreme VIV)
222,New Tacoma Narrows Bridge,Suspension,USA,J. Wind Eng. Ind. Aerodyn. 2014,2014,853,30.0,3.8,7.89,1700,Steel Box,0.180,0.180,,1.10,0.30,12.0,,65.0,52.0,0.013,Yes,Slotted Deck,High,Wind Tunnel Test
223,Izmit Bay Bridge,Suspension,Turkey,Structural Engineering Int. 2023,2023,1550,36.0,3.5,10.29,2680,Steel Box,0.140,0.140,,0.85,0.18,7.5,,75.0,60.0,0.008,Yes,Guide Vanes,High,Field Monitoring (High Risk)
224,Zhongxian Yangtze River Bridge,Cable-Stayed,China,Bridge Engineering 2022,2022,560,30.0,4.0,7.5,1200,Concrete Box,0.250,0.250,,0.92,0.21,6.5,,45.5,36.0,0.029,No,,Medium,Field Monitoring
225,Minpu Bridge,Cable-Stayed,China,Thin-Walled Structures 2020,2020,700,43.0,3.5,12.29,1700,Steel Box,0.185,0.185,,1.08,0.31,11.5,,88.0,70.0,0.006,No,,High,Wind Tunnel Test (High Risk)
