iter	RMSE
0	21.44071982
1	21.08933858
2	20.66098532
3	20.26874176
4	19.88980639
5	19.5417832
6	19.19428899
7	18.91076622
8	18.57540034
9	18.22633651
10	17.96201433
11	17.67495552
12	17.41339002
13	17.14962561
14	16.87318813
15	16.6092502
16	16.33106717
17	16.08585905
18	15.84808708
19	15.63542437
20	15.4419638
21	15.25279884
22	15.04987156
23	14.86867644
24	14.69280404
25	14.57209938
26	14.42781237
27	14.2413559
28	14.10819222
29	13.98373142
30	13.90893248
31	13.79379882
32	13.66863846
33	13.56410299
34	13.39536434
35	13.31828155
36	13.16465311
37	13.0812031
38	12.9536418
39	12.82079062
40	12.74842841
41	12.61174036
42	12.48411078
43	12.37873858
44	12.2641699
45	12.18610407
46	12.06992612
47	11.98678682
48	11.88738326
49	11.82776897
50	11.70136976
51	11.60404792
52	11.51632232
53	11.43047672
54	11.39522226
55	11.28153493
56	11.21627334
57	11.11214944
58	11.04285181
59	10.96003304
60	10.85207897
61	10.76522614
62	10.70801108
63	10.65193138
64	10.59335516
65	10.50341587
66	10.42739404
67	10.4177392
68	10.37843479
69	10.28417903
70	10.24611343
71	10.16711429
72	10.09572206
73	10.03787866
74	10.00747985
75	9.937733418
76	9.873428264
77	9.860307769
78	9.800120645
79	9.759522871
80	9.740680574
81	9.723224236
82	9.692228911
83	9.665082785
84	9.648025302
85	9.609505322
86	9.579556554
87	9.566143609
88	9.555302963
89	9.501920976
90	9.452208584
91	9.372802177
92	9.346859471
93	9.312569832
94	9.263270083
95	9.202161045
96	9.185867801
97	9.169669142
98	9.131552883
99	9.06543601
100	8.977915661
101	8.94839614
102	8.912987532
103	8.875743149
104	8.851480406
105	8.802390244
106	8.791587695
107	8.772641453
108	8.728215239
109	8.707362199
110	8.649635634
111	8.61144624
112	8.596289562
113	8.581288258
114	8.538272171
115	8.52014178
116	8.507513673
117	8.464581101
118	8.405536711
119	8.38830938
120	8.357541688
121	8.288698927
122	8.255175402
123	8.243244769
124	8.166104863
125	8.115748838
126	8.104862393
127	8.078591591
128	7.997700258
129	7.966918698
130	7.938024116
131	7.928173146
132	7.866725437
133	7.859412064
134	7.812159222
135	7.766331328
136	7.725281214
137	7.673312479
138	7.667404051
139	7.610327041
140	7.568962316
141	7.533902096
142	7.526571959
143	7.49354189
144	7.468004127
145	7.406953853
146	7.372028435
147	7.320106407
148	7.309069183
149	7.257777146
150	7.250266043
151	7.245295983
152	7.222898681
153	7.182494117
154	7.142927064
155	7.137875255
156	7.094940783
157	7.064755861
158	7.059115706
159	7.054643501
160	7.008201047
161	7.003308265
162	6.956549245
163	6.916415553
164	6.877329966
165	6.851762488
166	6.810432949
167	6.773369591
168	6.725124909
169	6.713259861
170	6.676100682
171	6.645077309
172	6.605121777
173	6.570743227
174	6.559958042
175	6.511457799
176	6.485773247
177	6.466366304
178	6.456540233
179	6.430289185
180	6.387923106
181	6.347981679
182	6.329985261
183	6.308632412
184	6.278139292
185	6.27421585
186	6.261400717
187	6.230870162
188	6.201848596
189	6.164845925
190	6.134830587
191	6.125734082
192	6.090408437
193	6.066684813
194	6.042619095
195	6.027011811
196	5.999575545
197	5.96569324
198	5.930665429
199	5.897341391
